data,dove,titolo,link,ID
2019/01/28,Il Giornale,"#Cipassalafame, sciopero della fame per i diritti dei migranti",http://www.ilgiornale.it/news/cronache/cipassalafame-sciopero-fame-i-diritti-dei-migranti-1635545.html?fbclid=IwAR2bAmmGcYWBpqdPltTbcyV75W7PQf6i9CNK-HG1Z4reXvsGYQIbrB85ie4,20190128
2019/01/28,Repubblica,"Digiuno collettivo, la foto di un piatto vuoto e l'hashtag #CiPassaLaFame. Così la difesa dei diritti umani diventa virale",https://www.repubblica.it/cronaca/2019/01/28/news/_cipassalafame_campagna_diritti_umani-217667883/?fbclid=IwAR0E4vceToLVQbYHQCU4L9AIZ99YGBRwJWnoUG9Y0B6xXHaE2-tnGxOfVt4,20190128
2019/01/24,Vita,"#CiPassaLaFame Una giornata senza mangiare",http://www.vita.it/it/article/2019/01/24/cipassalafame-una-giornata-senza-mangiare/150441/?fbclid=IwAR0UIzzYpHNPPNi9UGpLbQxjSR-_UXyHGUcKSV8gH3pY7F41YWKYZzYk_Qs,20190124
